section,docs,words,code_blocks,evidence
user_guide,696,859913,2009,"company-own (technical), measured"
partners,322,260928,828,"company-own (technical), measured"
api,200,121194,1245,"company-own (technical), measured"
developer_guide,106,287110,3135,"company-own (technical), measured"
releases,27,36262,24,"company-own (technical), measured"
help,1,72,0,"company-own (technical), measured"
