method,path,host,group,name,url,doc_slug,evidence
,/catalogs/restaurants/fields,rest.iad-03.braze.com,api,Create catalog fields,https://www.braze.com/docs/api/endpoints/catalogs/catalog_fields/asynchronous/post_create_catalog_fields,docs__api__endpoints__catalogs__catalog_fields__asynchronous__post_create_catalog_fields,documented (published API reference)
,/catalogs/restaurants/fields/ratings,rest.iad-03.braze.com,api,Delete catalog field,https://www.braze.com/docs/api/endpoints/catalogs/catalog_fields/asynchronous/delete_catalog_field,docs__api__endpoints__catalogs__catalog_fields__asynchronous__delete_catalog_field,documented (published API reference)
,/catalogs/restaurants/items,rest.iad-03.braze.com,api,Delete multiple catalog items,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/asynchronous/delete_catalog_items_bulk,docs__api__endpoints__catalogs__catalog_items__asynchronous__delete_catalog_items_bulk,documented (published API reference)
,/catalogs/restaurants/items/restaurant1,rest.iad-03.braze.com,api,Delete a catalog item,https://www.braze.com/docs/api/endpoints/catalogs/catalog_items/synchronous/delete_catalog_item,docs__api__endpoints__catalogs__catalog_items__synchronous__delete_catalog_item,documented (published API reference)
,/catalogs/restaurants/selections,rest.iad-03.braze.com,api,Create catalog selection,https://www.braze.com/docs/api/endpoints/catalogs/catalog_selections/asynchronous/post_create_catalog_selections,docs__api__endpoints__catalogs__catalog_selections__asynchronous__post_create_catalog_selections,documented (published API reference)
,/catalogs/restaurants/selections/favorite_list,rest.iad-03.braze.com,api,Delete catalog selection,https://www.braze.com/docs/api/endpoints/catalogs/catalog_selections/asynchronous/delete_catalog_selection,docs__api__endpoints__catalogs__catalog_selections__asynchronous__delete_catalog_selection,documented (published API reference)
,/cdi/integrations,rest.iad-03.braze.com,api,List integrations,https://www.braze.com/docs/api/endpoints/cdi/get_integration_list,docs__api__endpoints__cdi__get_integration_list,documented (published API reference)
,/cdi/integrations/00000000-0000-0000-0000-000000000000/job_sync_status,rest.iad-03.braze.com,api,List job sync status,https://www.braze.com/docs/api/endpoints/cdi/get_job_sync_status,docs__api__endpoints__cdi__get_job_sync_status,documented (published API reference)
,/cdi/integrations/00000000-0000-0000-0000-000000000000/sync,rest.iad-03.braze.com,api,Trigger a sync,https://www.braze.com/docs/api/endpoints/cdi/post_job_sync,docs__api__endpoints__cdi__post_job_sync,documented (published API reference)
,/content_blocks/create,rest.iad-01.braze.com,api,Create Content Block,https://www.braze.com/docs/api/endpoints/templates/content_blocks_templates/post_create_email_content_block,docs__api__endpoints__templates__content_blocks_templates__post_create_email_content_block,documented (published API reference)
,/content_blocks/info,rest.iad-01.braze.com,api,See Content Block information,https://www.braze.com/docs/api/endpoints/templates/content_blocks_templates/get_see_email_content_blocks_information,docs__api__endpoints__templates__content_blocks_templates__get_see_email_content_blocks_information,documented (published API reference)
,/content_blocks/list,rest.iad-01.braze.com,api,List available Content Blocks,https://www.braze.com/docs/api/endpoints/templates/content_blocks_templates/get_list_email_content_blocks,docs__api__endpoints__templates__content_blocks_templates__get_list_email_content_blocks,documented (published API reference)
,/content_blocks/translations,rest.iad-03.braze.com,api,View all translations for a Content Block,https://www.braze.com/docs/api/endpoints/translations/content_blocks/get_translation_content_block,docs__api__endpoints__translations__content_blocks__get_translation_content_block,documented (published API reference)
,/content_blocks/translations/source,rest.iad-03.braze.com,api,View default source values for a Content Block’s translation tags,https://www.braze.com/docs/api/endpoints/translations/content_blocks/get_source_content_block,docs__api__endpoints__translations__content_blocks__get_source_content_block,documented (published API reference)
,/content_blocks/update,rest.iad-01.braze.com,api,Update Content Block,https://www.braze.com/docs/api/endpoints/templates/content_blocks_templates/post_update_content_block,docs__api__endpoints__templates__content_blocks_templates__post_update_content_block,documented (published API reference)
,/custom_attributes,rest.iad-01.braze.com,api,Export custom attributes,https://www.braze.com/docs/api/endpoints/export/custom_attributes/get_custom_attributes,docs__api__endpoints__export__custom_attributes__get_custom_attributes,documented (published API reference)
,/custom_attributes,rest.iad-03.braze.com,api,Export custom attributes,https://www.braze.com/docs/api/endpoints/export/custom_attributes/get_custom_attributes,docs__api__endpoints__export__custom_attributes__get_custom_attributes,documented (published API reference)
,/data_objects/objects/account,rest.iad-01.braze.com,api,List data objects,https://www.braze.com/docs/api/endpoints/data_objects/objects/get_list_data_objects,docs__api__endpoints__data_objects__objects__get_list_data_objects,documented (published API reference)
,/data_objects/objects/account/acct-123,rest.iad-01.braze.com,api,Delete data object,https://www.braze.com/docs/api/endpoints/data_objects/objects/delete_data_object,docs__api__endpoints__data_objects__objects__delete_data_object,documented (published API reference)
GET,/data_objects/objects/account/acct-123/object_relationships,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
,/data_objects/objects/account/acct-123/object_relationships,rest.iad-01.braze.com,api,Delete object relationship,https://www.braze.com/docs/api/endpoints/data_objects/object_relationships/delete_object_relationship,docs__api__endpoints__data_objects__object_relationships__delete_object_relationship,documented (published API reference)
GET,/data_objects/objects/account/acct-123/user_relationships,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
,/data_objects/objects/account/acct-123/user_relationships,rest.iad-01.braze.com,api,List user relationships,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/get_list_user_relationships,docs__api__endpoints__data_objects__user_relationships__get_list_user_relationships,documented (published API reference)
,/data_objects/objects/account/acct-123/users,rest.iad-01.braze.com,api,Delete user relationship,https://www.braze.com/docs/api/endpoints/data_objects/user_relationships/delete_user_relationship,docs__api__endpoints__data_objects__user_relationships__delete_user_relationship,documented (published API reference)
GET,/data_objects/objects/account/acct-456/object_relationships,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
GET,/data_objects/objects/{type_name}/{external_id}/user_relationships,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
DELETE,/data_objects/objects/{type_name}/{external_id}/users,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
,/data_objects/types,rest.iad-01.braze.com,api,List data object types,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_data_object_types,docs__api__endpoints__data_objects__types__get_list_data_object_types,documented (published API reference)
,/data_objects/types/account,rest.iad-01.braze.com,api,Get data object type,https://www.braze.com/docs/api/endpoints/data_objects/types/get_data_object_type,docs__api__endpoints__data_objects__types__get_data_object_type,documented (published API reference)
,/data_objects/types/account/object_relationship_types,rest.iad-01.braze.com,api,List object relationship types,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_object_relationship_types,docs__api__endpoints__data_objects__types__get_list_object_relationship_types,documented (published API reference)
,/data_objects/types/account/user_relationship_types,rest.iad-01.braze.com,api,List user relationship types,https://www.braze.com/docs/api/endpoints/data_objects/types/get_list_user_relationship_types,docs__api__endpoints__data_objects__types__get_list_user_relationship_types,documented (published API reference)
GET,/data_objects/types/{type_name}/object_relationship_types,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
GET,/data_objects/types/{type_name}/user_relationship_types,,api,Data Objects Endpoints,https://www.braze.com/docs/api/endpoints/data_objects,docs__api__endpoints__data_objects,documented (published API reference)
,/email/blacklist,rest.iad-01.braze.com,api,Blacklist emails,https://www.braze.com/docs/api/endpoints/email/post_blacklist,docs__api__endpoints__email__post_blacklist,documented (published API reference)
,/email/blocklist,rest.iad-01.braze.com,api,Blocklist emails,https://www.braze.com/docs/api/endpoints/email/post_blocklist,docs__api__endpoints__email__post_blocklist,documented (published API reference)
,/email/bounce/remove,rest.iad-01.braze.com,api,Remove hard bounced emails,https://www.braze.com/docs/api/endpoints/email/post_remove_hard_bounces,docs__api__endpoints__email__post_remove_hard_bounces,documented (published API reference)
,/email/hard_bounces,rest.iad-01.braze.com,api,Query hard bounced emails,https://www.braze.com/docs/api/endpoints/email/get_list_hard_bounces,docs__api__endpoints__email__get_list_hard_bounces,documented (published API reference)
,/email/spam/remove,rest.iad-01.braze.com,api,Remove email addresses from spam list,https://www.braze.com/docs/api/endpoints/email/post_remove_spam,docs__api__endpoints__email__post_remove_spam,documented (published API reference)
,/email/status,rest.iad-01.braze.com,api,Change email subscription status,https://www.braze.com/docs/api/endpoints/email/post_email_subscription_status,docs__api__endpoints__email__post_email_subscription_status,documented (published API reference)
,/email/unsubscribes,rest.iad-01.braze.com,api,Query list of unsubscribed email addresses,https://www.braze.com/docs/api/endpoints/email/get_query_unsubscribed_email_addresses,docs__api__endpoints__email__get_query_unsubscribed_email_addresses,documented (published API reference)
,/events,rest.iad-01.braze.com,api,Export custom events,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events_data,docs__api__endpoints__export__custom_events__get_custom_events_data,documented (published API reference)
,/events,rest.iad-03.braze.com,api,Export custom events,https://www.braze.com/docs/api/endpoints/export/custom_events/get_custom_events_data,docs__api__endpoints__export__custom_events__get_custom_events_data,documented (published API reference)
